MONTH_DT,REGION,SALES_VALUE,INTERACTION_CHANNEL,NUMBER_OF_INTERACTIONS
2024-10-01,North,60965,Display,6056
2024-10-01,North,60965,Search,33482
2024-10-01,North,60965,TV,48716
2024-11-01,North,189182,Email,14773
2024-11-01,North,189182,Social,28266
2024-11-01,North,189182,Display,18412
2024-11-01,North,189182,Search,34270
2024-11-01,North,189182,TV,7910
2024-12-01,North,160989,Email,26446
2024-12-01,North,160989,Social,1206
2024-12-01,North,160989,Display,22518
2024-12-01,North,160989,Search,23361
2024-12-01,North,160989,TV,24419
2023-01-01,South,100015,Email,42523
2023-01-01,South,100015,Social,46151
2023-01-01,South,100015,Display,23403
2023-01-01,South,100015,Search,19141
2023-01-01,South,100015,TV,15820
2023-02-01,South,155878,Email,7374
2023-02-01,South,155878,Social,2678
2023-02-01,South,155878,Display,34827
2023-02-01,South,155878,Search,17198
2023-02-01,South,155878,TV,10914
2023-03-01,South,143426,Email,23299
2023-03-01,South,143426,Social,44585
2023-03-01,South,143426,Display,44689
2023-03-01,South,143426,Search,43557
2023-03-01,South,143426,TV,45020
2023-04-01,South,52693,Email,30467
2023-04-01,South,52693,Social,30723
2023-04-01,South,52693,Display,47699
2023-04-01,South,52693,Search,4627
2023-04-01,South,52693,TV,26939
2023-05-01,South,68047,Email,27105
2023-05-01,South,68047,Social,11230
2023-05-01,South,68047,Display,16707
2023-05-01,South,68047,Search,22976
2023-05-01,South,68047,TV,45262
2023-06-01,South,175117,Email,24776
2023-06-01,South,175117,Social,31080
2023-06-01,South,175117,Display,2306
2023-06-01,South,175117,Search,7776
2023-06-01,South,175117,TV,28251
2023-07-01,South,177948,Email,10474
2023-07-01,South,177948,Social,41294
2023-07-01,South,177948,Display,22959
2023-07-01,South,177948,Search,6530
2023-07-01,South,177948,TV,30320
2023-08-01,South,169101,Email,4748
2023-08-01,South,169101,Social,32968
2023-08-01,South,169101,Display,33562
2023-08-01,South,169101,Search,14545
2023-08-01,South,169101,TV,1663
2023-09-01,South,123530,Email,29021
2023-09-01,South,123530,Social,31303
2023-09-01,South,123530,Display,4304
2023-09-01,South,123530,Search,47576
2023-09-01,South,123530,TV,40353
2023-10-01,South,102733,Email,45417
2023-10-01,South,102733,Social,24938
2023-10-01,South,102733,Display,24664
2023-10-01,South,102733,Search,2636
2023-10-01,South,102733,TV,21080
2023-11-01,South,143264,Email,27736
2023-11-01,South,143264,Social,29673
2023-11-01,South,143264,Display,38505
2023-11-01,South,143264,Search,48323
2023-11-01,South,143264,TV,47645
2023-12-01,South,181926,Email,25548
2023-12-01,South,181926,Social,39623
2023-12-01,South,181926,Display,8392
2023-12-01,South,181926,Search,47717
2023-12-01,South,181926,TV,22556
2024-01-01,South,100859,Email,39559
2024-01-01,South,100859,Social,27309
2024-01-01,South,100859,Display,22919
2024-01-01,South,100859,Search,5931
2024-01-01,South,100859,TV,33970
2024-02-01,South,159751,Email,13688
2024-02-01,South,159751,Social,26342
2024-02-01,South,159751,Display,38157
2024-02-01,South,159751,Search,3327
2024-02-01,South,159751,TV,41772
2024-03-01,South,156081,Email,1197
2024-03-01,South,156081,Social,24509
2024-03-01,South,156081,Display,35698
2024-03-01,South,156081,Search,45542
2024-03-01,South,156081,TV,16087
2024-04-01,South,72671,Email,26184
2024-04-01,South,72671,Social,28848
2024-04-01,South,72671,Display,43107
2024-04-01,South,72671,Search,21666
2024-04-01,South,72671,TV,45357
2024-05-01,South,101663,Email,16708
2024-05-01,South,101663,Social,27370
2024-05-01,South,101663,Display,3811
2024-05-01,South,101663,Search,48011
2024-05-01,South,101663,TV,7546
2024-06-01,South,174249,Email,35754
2024-06-01,South,174249,Social,31206
2024-06-01,South,174249,Display,42106
2024-06-01,South,174249,Search,12411
2024-06-01,South,174249,TV,3911
2024-07-01,South,189752,Email,20360
2024-07-01,South,189752,Social,19343
2024-07-01,South,189752,Display,6759
2024-07-01,South,189752,Search,24078
2024-07-01,South,189752,TV,36153
2024-08-01,South,61111,Email,38504
2024-08-01,South,61111,Social,2802
2024-08-01,South,61111,Display,9155
2024-08-01,South,61111,Search,9120
2024-08-01,South,61111,TV,40384
2024-09-01,South,162561,Email,48254
2024-09-01,South,162561,Social,22918
2024-09-01,South,162561,Display,21445
2024-09-01,South,162561,Search,31306
2024-09-01,South,162561,TV,17646
2024-10-01,South,96843,Email,32065
2024-10-01,South,96843,Social,26199
2024-10-01,South,96843,Display,42976
2024-10-01,South,96843,Search,17371
2024-10-01,South,96843,TV,12835
2024-11-01,South,161472,Email,3049
2024-11-01,South,161472,Social,32616
2024-11-01,South,161472,Display,39191
2024-11-01,South,161472,Search,48357
2024-11-01,South,161472,TV,21932
2024-12-01,South,167796,Email,30855
2024-12-01,South,167796,Social,8158
2024-12-01,South,167796,Display,44016
2024-12-01,South,167796,Search,8400
2024-12-01,South,167796,TV,43642
2023-01-01,East,65151,Email,2154
2023-01-01,East,65151,Social,5499
2023-01-01,East,65151,Display,7295
2023-01-01,East,65151,Search,13183
2023-01-01,East,65151,TV,30299
2023-02-01,East,193946,Email,33711
2023-02-01,East,193946,Social,6539
2023-02-01,East,193946,Display,43405
2023-02-01,East,193946,Search,49354
2023-02-01,East,193946,TV,3557
2023-03-01,East,88360,Email,17482
2023-03-01,East,88360,Social,3200
2023-03-01,East,88360,Display,47940
2023-03-01,East,88360,Search,3961
2023-03-01,East,88360,TV,47975
2023-04-01,East,71357,Email,12969
2023-04-01,East,71357,Social,3869
2023-04-01,East,71357,Display,47760
2023-04-01,East,71357,Search,29643
2023-04-01,East,71357,TV,25736
2023-05-01,East,88467,Email,24328
2023-05-01,East,88467,Social,26876
2023-05-01,East,88467,Display,22295
2023-05-01,East,88467,Search,4987
2023-05-01,East,88467,TV,23399
2023-06-01,East,178391,Email,47214
2023-06-01,East,178391,Social,34986
2023-06-01,East,178391,Display,21880
2023-06-01,East,178391,Search,5735
2023-06-01,East,178391,TV,45064
2023-07-01,East,157450,Email,41818
2023-07-01,East,157450,Social,46525
2023-07-01,East,157450,Display,20830
2023-07-01,East,157450,Search,18429
2023-07-01,East,157450,TV,7893
2023-08-01,East,166381,Email,15373
2023-08-01,East,166381,Social,48333
2023-08-01,East,166381,Display,4436
2023-08-01,East,166381,Search,9754
2023-08-01,East,166381,TV,11677
2023-09-01,East,186967,Email,20738
2023-09-01,East,186967,Social,31746
2023-09-01,East,186967,Display,49404
2023-09-01,East,186967,Search,33352
2023-09-01,East,186967,TV,40790
2023-10-01,East,157455,Email,6600
2023-10-01,East,157455,Social,30124
2023-10-01,East,157455,Display,28643
2023-10-01,East,157455,Search,41764
2023-10-01,East,157455,TV,10007
2023-11-01,East,95714,Email,38410
2023-11-01,East,95714,Social,45080
2023-11-01,East,95714,Display,41447
2023-11-01,East,95714,Search,9208
2023-11-01,East,95714,TV,19589
2023-12-01,East,93484,Email,18453
2023-12-01,East,93484,Social,37212
2023-12-01,East,93484,Display,44525
2023-12-01,East,93484,Search,48202
2023-12-01,East,93484,TV,33635
2024-01-01,East,113208,Email,34828
2024-01-01,East,113208,Social,19711
2024-01-01,East,113208,Display,4420
2024-01-01,East,113208,Search,32216
2024-01-01,East,113208,TV,1301
2024-02-01,East,165294,Email,1699
2024-02-01,East,165294,Social,1190
2024-02-01,East,165294,Display,11492
2024-02-01,East,165294,Search,36743
2024-02-01,East,165294,TV,7102
2024-03-01,East,168015,Email,20778
2024-03-01,East,168015,Social,27641
2024-03-01,East,168015,Display,35584
2024-03-01,East,168015,Search,33745
2024-03-01,East,168015,TV,24093
2024-04-01,East,153746,Email,35663
2024-04-01,East,153746,Social,37631
2024-04-01,East,153746,Display,46681
2024-04-01,East,153746,Search,8455
2024-04-01,East,153746,TV,5014
2024-05-01,East,61093,Email,19070
2024-05-01,East,61093,Social,36777
2024-05-01,East,61093,Display,17538
2024-05-01,East,61093,Search,11729
2024-05-01,East,61093,TV,35177
2024-06-01,East,155864,Email,13533
2024-06-01,East,155864,Social,41111
2024-06-01,East,155864,Display,40974
2024-06-01,East,155864,Search,6801
2024-06-01,East,155864,TV,20190
2024-07-01,East,79592,Email,11647
2024-07-01,East,79592,Social,9716
2024-07-01,East,79592,Display,24355
2024-07-01,East,79592,Search,23009
2024-07-01,East,79592,TV,25376
2024-08-01,East,160627,Email,5780
2024-08-01,East,160627,Social,3368
2024-08-01,East,160627,Display,13039
2024-08-01,East,160627,Search,7655
2024-08-01,East,160627,TV,41941
2024-09-01,East,120031,Email,11893
2024-09-01,East,120031,Social,26547
2024-09-01,East,120031,Display,23386
2024-09-01,East,120031,Search,14403
2024-09-01,East,120031,TV,33097
2024-10-01,East,192038,Email,34621
2024-10-01,East,192038,Social,29312
2024-10-01,East,192038,Display,23677
2024-10-01,East,192038,Search,32289
2024-10-01,East,192038,TV,32024
2024-11-01,East,120313,Email,30749
2024-11-01,East,120313,Social,16338
2024-11-01,East,120313,Display,3491
2024-11-01,East,120313,Search,28236
2024-11-01,East,120313,TV,49096
2024-12-01,East,53051,Email,49747
2024-12-01,East,53051,Social,22606
2024-12-01,East,53051,Display,22699
2024-12-01,East,53051,Search,1876
2024-12-01,East,53051,TV,33093
2023-01-01,West,123523,Email,40567
2023-01-01,West,123523,Social,29940
2023-01-01,West,123523,Display,38233
2023-01-01,West,123523,Search,18019
2023-01-01,West,123523,TV,47185
2023-02-01,West,133613,Email,27258
2023-02-01,West,133613,Social,22136
2023-02-01,West,133613,Display,9311
2023-02-01,West,133613,Search,18214
2023-02-01,West,133613,TV,15098
2023-03-01,West,78251,Email,38945
2023-03-01,West,78251,Social,48030
2023-03-01,West,78251,Display,26945
2023-03-01,West,78251,Search,26316
2023-03-01,West,78251,TV,33217
2023-04-01,West,58308,Email,6949
2023-04-01,West,58308,Social,2150
2023-04-01,West,58308,Display,24944
2023-04-01,West,58308,Search,35699
2023-04-01,West,58308,TV,10204
2023-05-01,West,166352,Email,2081
2023-05-01,West,166352,Social,30305
2023-05-01,West,166352,Display,17896
2023-05-01,West,166352,Search,47175
2023-05-01,West,166352,TV,8805
2023-06-01,West,55237,Email,21056
2023-06-01,West,55237,Social,46543
2023-06-01,West,55237,Display,46952
2023-06-01,West,55237,Search,4343
2023-06-01,West,55237,TV,14500
2023-07-01,West,79375,Email,10662
2023-07-01,West,79375,Social,17964
2023-07-01,West,79375,Display,48893
2023-07-01,West,79375,Search,9130
2023-07-01,West,79375,TV,20531
2023-08-01,West,117215,Email,4506
2023-08-01,West,117215,Social,14284
2023-08-01,West,117215,Display,8253
2023-08-01,West,117215,Search,20128
2023-08-01,West,117215,TV,28932
2023-09-01,West,59435,Email,45078
2023-09-01,West,59435,Social,14296
2023-09-01,West,59435,Display,31445
2023-09-01,West,59435,Search,14245
2023-09-01,West,59435,TV,30124
2023-10-01,West,93919,Email,44225
2023-10-01,West,93919,Social,36247
2023-10-01,West,93919,Display,30222
2023-10-01,West,93919,Search,27211
2023-10-01,West,93919,TV,38220
2023-11-01,West,76646,Email,39649
2023-11-01,West,76646,Social,24049
2023-11-01,West,76646,Display,15069
2023-11-01,West,76646,Search,33580
2023-11-01,West,76646,TV,32843
2023-12-01,West,118385,Email,41158
2023-12-01,West,118385,Social,24289
2023-12-01,West,118385,Display,45690
2023-12-01,West,118385,Search,36257
2023-12-01,West,118385,TV,10823
2024-01-01,West,91975,Email,10540
2024-01-01,West,91975,Social,17364
2024-01-01,West,91975,Display,5611
2024-01-01,West,91975,Search,28663
2024-01-01,West,91975,TV,39646
2024-02-01,West,144704,Email,26471
2024-02-01,West,144704,Social,23687
2024-02-01,West,144704,Display,1851
2024-02-01,West,144704,Search,19071
2024-02-01,West,144704,TV,7833
2024-03-01,West,61938,Email,36195
2024-03-01,West,61938,Social,27144
2024-03-01,West,61938,Display,5000
2024-03-01,West,61938,Search,6052
2024-03-01,West,61938,TV,36506
2024-04-01,West,143610,Email,39155
2024-04-01,West,143610,Social,41770
2024-04-01,West,143610,Display,33320
2024-04-01,West,143610,Search,39304
2024-04-01,West,143610,TV,47247
2024-05-01,West,119449,Email,18450
2024-05-01,West,119449,Social,25107
2024-05-01,West,119449,Display,21764
2024-05-01,West,119449,Search,44404
2024-05-01,West,119449,TV,21491
2024-06-01,West,88494,Email,4373
2024-06-01,West,88494,Social,13161
2024-06-01,West,88494,Display,32996
2024-06-01,West,88494,Search,28122
2024-06-01,West,88494,TV,35850
2024-07-01,West,77350,Email,28472
2024-07-01,West,77350,Social,29761
2024-07-01,West,77350,Display,26351
2024-07-01,West,77350,Search,24132
2024-07-01,West,77350,TV,16305
2024-08-01,West,125353,Email,12261
2024-08-01,West,125353,Social,1417
2024-08-01,West,125353,Display,42576
2024-08-01,West,125353,Search,21358
2024-08-01,West,125353,TV,4267
2024-09-01,West,132745,Email,25052
2024-09-01,West,132745,Social,39513
2024-09-01,West,132745,Display,27092
2024-09-01,West,132745,Search,12338
2024-09-01,West,132745,TV,1412
2024-10-01,West,57543,Email,41355
2024-10-01,West,57543,Social,34496
2024-10-01,West,57543,Display,24548
2024-10-01,West,57543,Search,28384
2024-10-01,West,57543,TV,45425
2024-11-01,West,88756,Email,19888
2024-11-01,West,88756,Social,36735
2024-11-01,West,88756,Display,48295
2024-11-01,West,88756,Search,49816
2024-11-01,West,88756,TV,18506
2024-12-01,West,135999,Email,18955
2024-12-01,West,135999,Social,38841
2024-12-01,West,135999,Display,6104
2024-12-01,West,135999,Search,35911
2024-12-01,West,135999,TV,24190
